Last Name,First Name,Gender,Birthday,Skill Level,Preferred Practice Location,School,Parent HC,Parent AC
Martinez,Barbara,M,2007-12-11,Average,West 288,Chestnut Middle School,N,N
Miller,William,F,2011-02-06,Very Good,Blue Ridge Soccer Park (South Houston),Magnolia High,N,N
Davis,Susan,M,2013-03-03,Advanced,West 288,Willow Elementary,N,N
Martin,James,M,2011-11-01,Beginner,West 288,Maple Middle School,N,N
Brown,Barbara,M,2014-08-27,Very Good,Silverlake/East 288,Oak Elementary,N,N
Jones,David,F,2016-02-15,Average,Far East,Aspen Charter School,N,N
Brown,Joseph,F,2013-06-27,Advanced,Far East,Birch School,N,N
Brown,Michael,F,2008-02-26,Very Good,Far East,Elm Middle School,N,Y
Martinez,David,M,2011-09-24,Very Good,Hwy 6 South,Birch School,N,N
Miller,Lisa,M,2012-07-14,Beginner,Silverlake/East 288,Cypress School,N,N
Lopez,Margaret,F,2010-01-12,Beginner,West 288,Oak Elementary,N,N
Jones,William,M,2008-02-25,Advanced,West 288,Poplar Academy,N,N
Thomas,Jennifer,F,2018-04-14,Very Good,Silverlake/East 288,Poplar Academy,N,N
Gonzalez,Charles,M,2009-07-16,Average,Silverlake/East 288,Willow Elementary,Y,N
Williams,Susan,F,2016-07-20,Average,Blue Ridge Soccer Park (South Houston),Willow Elementary,N,Y
Anderson,Patricia,F,2020-03-30,Advanced,West 288,Cedar Academy,Y,N
Brown,Thomas,M,2020-07-25,Average,Far East,Elm Middle School,N,N
Thomas,Margaret,M,2020-04-13,Advanced,Hwy 6 South,Birch School,N,N
Rodriguez,Barbara,F,2018-10-20,Beginner,Silverlake/East 288,Willow Elementary,N,N
Davis,David,F,2009-09-19,Average,Hwy 6 South,Birch School,N,N
Smith,Susan,M,2010-12-12,Average,Silverlake/East 288,Chestnut Middle School,N,N
Rodriguez,John,M,2010-12-15,Advanced,West 288,Aspen Charter School,N,N
Taylor,Joseph,F,2011-04-29,Beginner,Silverlake/East 288,Maple Middle School,Y,N
Smith,William,F,2018-05-17,Beginner,Hwy 6 South,Redwood Preparatory,N,N
Garcia,John,M,2010-02-26,Very Good,Silverlake/East 288,Pine High School,N,N
Martin,David,F,2008-10-17,Beginner,West 288,Pine High School,N,Y
Rodriguez,Jennifer,M,2014-04-06,Average,West 288,Cypress School,N,N
Thomas,Jennifer,F,2018-01-27,Very Good,Silverlake/East 288,Spruce High,Y,N
Jackson,Mary,F,2015-06-23,Average,West 288,Pine High School,Y,N
Hernandez,John,M,2016-10-02,Advanced,Far East,Birch School,Y,N
Brown,Joseph,F,2014-12-03,Beginner,Silverlake/East 288,Redwood Preparatory,N,Y
Anderson,Joseph,F,2012-10-25,Beginner,West 288,Cypress School,N,N
Lopez,Dorothy,F,2013-12-02,Average,Blue Ridge Soccer Park (South Houston),Spruce High,Y,N
Martinez,Mary,M,2019-09-10,Average,West 288,Willow Elementary,N,N
Williams,John,M,2016-05-17,Advanced,West 288,Oak Elementary,N,N
Anderson,Dorothy,F,2011-10-23,Beginner,Hwy 6 South,Chestnut Middle School,N,N
Miller,William,F,2009-10-22,Advanced,Silverlake/East 288,Birch School,N,N
Garcia,Lisa,M,2009-11-01,Average,Silverlake/East 288,Willow Elementary,N,N
Miller,Jennifer,M,2019-04-24,Average,Silverlake/East 288,Oak Elementary,N,N
Lopez,John,M,2014-09-14,Beginner,Far East,Magnolia High,Y,Y
Martinez,Charles,F,2015-10-24,Advanced,Silverlake/East 288,Sycamore Elementary,N,N
Thomas,Richard,M,2019-03-16,Advanced,Hwy 6 South,Willow Elementary,N,N
Davis,Dorothy,M,2017-02-01,Advanced,Silverlake/East 288,Oak Elementary,N,N
Wilson,Margaret,F,2016-10-29,Very Good,Silverlake/East 288,Pine High School,N,N
Jackson,David,M,2015-07-18,Average,Silverlake/East 288,Oak Elementary,Y,Y
Garcia,Patricia,M,2019-10-07,Advanced,West 288,Maple Middle School,N,N
Davis,David,M,2018-12-27,Beginner,West 288,Elm Middle School,N,N
Hernandez,Barbara,M,2010-09-23,Advanced,Silverlake/East 288,Oak Elementary,N,N
Hernandez,Charles,M,2012-07-11,Beginner,West 288,Chestnut Middle School,N,N
Garcia,Lisa,F,2015-09-13,Very Good,West 288,Elm Middle School,N,N
Davis,Dorothy,F,2013-03-31,Average,West 288,Aspen Charter School,N,Y
Martin,Elizabeth,F,2017-10-08,Beginner,Silverlake/East 288,Spruce High,N,N
Thomas,David,M,2020-09-11,Beginner,West 288,Willow Elementary,N,N
Martinez,Mary,M,2014-05-09,Beginner,Hwy 6 South,Cedar Academy,N,N
Brown,Charles,F,2015-10-10,Beginner,Far East,Spruce High,Y,N
Gonzalez,Richard,F,2020-01-01,Advanced,Far East,Cypress School,N,Y
Jones,Margaret,F,2008-05-14,Beginner,West 288,Redwood Preparatory,N,N
Hernandez,David,M,2017-01-26,Average,West 288,Pine High School,Y,N
Moore,Dorothy,M,2015-12-03,Very Good,Silverlake/East 288,Sycamore Elementary,N,N
Wilson,Jennifer,F,2011-02-02,Beginner,West 288,Elm Middle School,N,N
Martinez,William,M,2013-12-04,Advanced,Silverlake/East 288,Maple Middle School,N,N
Rodriguez,Mary,M,2011-06-18,Beginner,Silverlake/East 288,Chestnut Middle School,Y,N
Jackson,Patricia,F,2020-05-14,Beginner,Silverlake/East 288,Spruce High,N,N
Taylor,Richard,M,2019-05-16,Average,Blue Ridge Soccer Park (South Houston),Pine High School,Y,N
Brown,Margaret,F,2013-12-09,Advanced,West 288,Cypress School,N,Y
Johnson,James,M,2008-05-14,Average,Blue Ridge Soccer Park (South Houston),Oak Elementary,N,N
Taylor,Michael,M,2015-02-10,Beginner,West 288,Birch School,N,N
Thomas,John,F,2019-06-29,Advanced,Far East,Elm Middle School,Y,N
Williams,Mary,M,2020-03-30,Very Good,Silverlake/East 288,Spruce High,N,Y
Garcia,Elizabeth,F,2015-11-24,Advanced,West 288,Magnolia High,N,N
Williams,Charles,F,2012-02-02,Average,Silverlake/East 288,Cypress School,N,N
Rodriguez,Barbara,F,2007-12-27,Advanced,West 288,Willow Elementary,N,N
Martin,Mary,F,2020-04-16,Very Good,Hwy 6 South,Birch School,N,Y
Taylor,Elizabeth,M,2012-05-04,Very Good,West 288,Magnolia High,Y,N
Rodriguez,Elizabeth,M,2017-08-30,Average,Hwy 6 South,Pine High School,N,N
Rodriguez,Joseph,F,2011-10-20,Average,Far East,Pine High School,N,N
Thomas,David,M,2013-10-09,Beginner,Blue Ridge Soccer Park (South Houston),Elm Middle School,N,N
Jones,William,F,2016-12-04,Average,West 288,Pine High School,N,N
Taylor,Susan,F,2010-09-23,Average,West 288,Cypress School,N,Y
Anderson,Susan,F,2019-05-21,Beginner,Silverlake/East 288,Aspen Charter School,N,N
Smith,Thomas,F,2009-11-18,Beginner,Silverlake/East 288,Magnolia High,N,N
Johnson,James,M,2014-06-16,Advanced,Silverlake/East 288,Maple Middle School,N,N
Taylor,David,F,2013-12-14,Very Good,Silverlake/East 288,Birch School,N,Y
Smith,Lisa,F,2018-06-14,Very Good,Silverlake/East 288,Maple Middle School,Y,Y
Rodriguez,Lisa,F,2011-09-15,Advanced,Blue Ridge Soccer Park (South Houston),Maple Middle School,N,N
Miller,Dorothy,F,2009-02-08,Beginner,West 288,Cypress School,N,N
Lopez,Michael,M,2008-03-16,Beginner,West 288,Chestnut Middle School,N,Y
Rodriguez,John,F,2012-01-06,Beginner,Far East,Oak Elementary,N,N
Martinez,Elizabeth,F,2012-02-01,Average,Silverlake/East 288,Oak Elementary,N,N
Davis,Dorothy,F,2017-12-27,Average,West 288,Spruce High,N,N
Rodriguez,Richard,M,2009-05-26,Average,Blue Ridge Soccer Park (South Houston),Maple Middle School,N,N
Jackson,David,M,2017-01-13,Very Good,West 288,Chestnut Middle School,N,N
Davis,Robert,M,2011-04-26,Average,Far East,Birch School,N,N
Thomas,Barbara,F,2017-07-01,Average,West 288,Chestnut Middle School,N,N
Wilson,Lisa,M,2009-09-26,Beginner,West 288,Maple Middle School,N,N
Wilson,Thomas,F,2012-07-24,Advanced,Silverlake/East 288,Maple Middle School,Y,N
Jones,David,M,2010-02-26,Advanced,Hwy 6 South,Maple Middle School,Y,Y
Smith,William,F,2012-02-29,Beginner,Blue Ridge Soccer Park (South Houston),Sycamore Elementary,N,N
Johnson,Patricia,M,2010-04-16,Advanced,West 288,Pine High School,N,N
Rodriguez,Linda,M,2008-12-01,Very Good,Hwy 6 South,Magnolia High,N,Y
Moore,Elizabeth,F,2015-01-04,Very Good,West 288,Maple Middle School,N,N
Hernandez,Jennifer,F,2017-05-28,Average,Silverlake/East 288,Chestnut Middle School,Y,N
Rodriguez,Barbara,M,2011-01-03,Average,Blue Ridge Soccer Park (South Houston),Cedar Academy,N,N
Jackson,Margaret,M,2016-01-14,Advanced,Silverlake/East 288,Birch School,N,N
Taylor,Linda,M,2013-04-15,Beginner,Silverlake/East 288,Oak Elementary,Y,Y
Davis,David,F,2010-10-11,Very Good,Silverlake/East 288,Willow Elementary,N,Y
Miller,Dorothy,M,2012-08-09,Advanced,Silverlake/East 288,Maple Middle School,N,N
Miller,Margaret,F,2020-05-16,Beginner,West 288,Redwood Preparatory,N,Y
Martinez,James,M,2018-11-12,Average,Silverlake/East 288,Cypress School,Y,N
Gonzalez,Mary,F,2014-07-31,Average,West 288,Magnolia High,N,N
Rodriguez,Margaret,F,2013-12-13,Advanced,West 288,Birch School,N,N
Thomas,Dorothy,F,2018-03-24,Very Good,Silverlake/East 288,Oak Elementary,N,Y
Smith,Dorothy,M,2020-06-21,Advanced,Blue Ridge Soccer Park (South Houston),Elm Middle School,N,N
Wilson,John,M,2019-02-15,Beginner,Silverlake/East 288,Birch School,N,Y
Martin,Patricia,F,2011-08-18,Average,Silverlake/East 288,Maple Middle School,N,N
Williams,Thomas,M,2013-09-10,Average,Silverlake/East 288,Cypress School,Y,N
Moore,Elizabeth,M,2009-07-23,Average,West 288,Cedar Academy,Y,N
Williams,Susan,M,2009-03-29,Advanced,Hwy 6 South,Redwood Preparatory,Y,N
Moore,Charles,F,2009-12-16,Average,West 288,Spruce High,N,N
Martinez,James,F,2007-11-02,Average,West 288,Magnolia High,N,N
Moore,Thomas,M,2012-08-28,Beginner,West 288,Spruce High,N,N
Miller,Robert,F,2017-01-24,Beginner,West 288,Chestnut Middle School,Y,N
Hernandez,Jennifer,F,2009-09-20,Beginner,Silverlake/East 288,Elm Middle School,N,Y
Martin,William,F,2019-04-27,Beginner,West 288,Elm Middle School,N,N
Jackson,Joseph,M,2009-11-07,Average,West 288,Oak Elementary,N,N
Jackson,Susan,F,2017-12-12,Average,West 288,Redwood Preparatory,N,N
Jackson,Patricia,M,2008-08-14,Advanced,Silverlake/East 288,Cypress School,N,N
Lopez,Dorothy,F,2016-09-10,Beginner,Silverlake/East 288,Redwood Preparatory,Y,N
Thomas,Joseph,F,2009-12-03,Beginner,Silverlake/East 288,Elm Middle School,Y,N
Garcia,Jennifer,M,2020-02-07,Very Good,West 288,Magnolia High,Y,N
Hernandez,Richard,M,2018-11-08,Very Good,West 288,Redwood Preparatory,Y,N
Jones,Joseph,F,2018-09-01,Very Good,Hwy 6 South,Elm Middle School,N,N
Smith,Dorothy,M,2014-04-09,Advanced,West 288,Magnolia High,N,N
Brown,James,M,2013-12-22,Beginner,West 288,Sycamore Elementary,N,Y
Hernandez,Mary,F,2010-02-13,Average,West 288,Magnolia High,Y,N
Garcia,Dorothy,F,2019-05-20,Average,Silverlake/East 288,Cedar Academy,N,N
Brown,Robert,M,2015-01-21,Beginner,Silverlake/East 288,Poplar Academy,N,Y
Jones,Susan,M,2012-08-03,Advanced,Silverlake/East 288,Maple Middle School,N,N
Wilson,Susan,F,2020-05-22,Average,Hwy 6 South,Oak Elementary,Y,N
Lopez,Jennifer,M,2020-02-27,Advanced,Far East,Sycamore Elementary,N,Y
Wilson,Robert,M,2019-11-22,Average,West 288,Oak Elementary,N,Y
Thomas,Lisa,F,2011-03-14,Average,West 288,Magnolia High,Y,N
Moore,Linda,F,2010-01-16,Very Good,Far East,Aspen Charter School,N,N
Miller,Dorothy,M,2018-10-28,Very Good,West 288,Chestnut Middle School,Y,N
Gonzalez,Patricia,M,2017-02-27,Very Good,Far East,Elm Middle School,N,Y
Moore,Michael,M,2019-12-17,Average,Blue Ridge Soccer Park (South Houston),Spruce High,Y,N
Johnson,Robert,M,2013-08-02,Beginner,Silverlake/East 288,Willow Elementary,N,N
Lopez,Margaret,M,2014-10-28,Very Good,Silverlake/East 288,Willow Elementary,N,N
Lopez,Dorothy,M,2018-08-09,Advanced,West 288,Aspen Charter School,N,N
Gonzalez,Charles,F,2017-09-16,Very Good,Blue Ridge Soccer Park (South Houston),Elm Middle School,N,N
Williams,Michael,M,2008-05-11,Advanced,Silverlake/East 288,Cedar Academy,N,N
Brown,Joseph,F,2011-05-29,Very Good,West 288,Maple Middle School,N,N
Hernandez,Elizabeth,F,2013-11-09,Very Good,Hwy 6 South,Oak Elementary,N,N
Wilson,Barbara,F,2011-09-03,Advanced,West 288,Sycamore Elementary,N,N
Rodriguez,Elizabeth,F,2013-11-29,Average,West 288,Cypress School,N,N
Brown,Charles,F,2014-03-06,Very Good,Hwy 6 South,Magnolia High,Y,N
Martinez,Barbara,F,2014-03-11,Beginner,Silverlake/East 288,Oak Elementary,N,N
Gonzalez,Barbara,F,2014-10-17,Advanced,Silverlake/East 288,Aspen Charter School,Y,N
Rodriguez,Patricia,M,2015-08-29,Very Good,West 288,Aspen Charter School,N,N
Rodriguez,Susan,F,2014-03-05,Average,Silverlake/East 288,Spruce High,Y,N
Anderson,Patricia,M,2019-01-11,Advanced,West 288,Redwood Preparatory,N,N
Martin,Linda,F,2018-11-16,Average,West 288,Chestnut Middle School,N,N
Gonzalez,Jennifer,M,2010-06-22,Beginner,West 288,Poplar Academy,Y,Y
Jones,John,M,2012-03-01,Advanced,Silverlake/East 288,Sycamore Elementary,N,N
Moore,Richard,F,2012-10-20,Advanced,West 288,Redwood Preparatory,N,N
Taylor,Robert,F,2012-06-03,Beginner,West 288,Elm Middle School,N,N
Rodriguez,John,M,2013-04-19,Beginner,Far East,Elm Middle School,N,Y
Jackson,Barbara,M,2019-09-07,Very Good,West 288,Sycamore Elementary,N,Y
Rodriguez,Linda,M,2009-09-30,Advanced,Silverlake/East 288,Sycamore Elementary,N,Y
Miller,Michael,M,2011-08-20,Advanced,West 288,Pine High School,Y,Y
Jones,William,M,2009-08-27,Beginner,West 288,Redwood Preparatory,N,N
Hernandez,James,F,2018-11-05,Advanced,Blue Ridge Soccer Park (South Houston),Spruce High,N,N
Thomas,Elizabeth,M,2010-06-22,Beginner,West 288,Willow Elementary,N,N
Martinez,Barbara,M,2020-04-14,Very Good,Hwy 6 South,Willow Elementary,N,N
Rodriguez,Robert,F,2016-02-25,Average,West 288,Chestnut Middle School,N,N
