Last Name,First Name,Gender,Birthday,Skill Level,Preferred Practice Location,School,Parent HC,Parent AC,Age Group,Team
Rodriguez,Susan,F,2014-03-05,Average,Silverlake/East 288,Spruce High,Y,N,u-12,4
Jackson,Joseph,F,2013-01-21,Advanced,West 288,Sycamore Elementary,N,N,u-12,4
Lopez,Jennifer,F,2013-05-19,Average,Silverlake/East 288,Aspen Charter School,N,N,u-12,5
Brown,Joseph,F,2013-06-27,Advanced,Far East,Birch School,N,N,u-12,5
Wilson,Mary,F,2012-10-06,Beginner,West 288,Chestnut Middle School,N,N,u-12,5
Rodriguez,Elizabeth,F,2013-11-29,Average,West 288,Cypress School,N,N,u-12,5
Lopez,William,F,2014-08-04,Advanced,Silverlake/East 288,Elm Middle School,N,N,u-12,5
Gonzalez,Mary,F,2014-07-31,Average,West 288,Magnolia High,N,N,u-12,5
Garcia,Mary,F,2014-05-17,Very Good,Silverlake/East 288,Maple Middle School,N,N,u-12,5
Hernandez,Elizabeth,F,2013-11-09,Very Good,Hwy 6 South,Oak Elementary,N,N,u-12,5
Garcia,John,F,2014-06-08,Beginner,Silverlake/East 288,Pine High School,N,N,u-12,5
Miller,Lisa,F,2013-05-05,Very Good,Hwy 6 South,Poplar Academy,N,N,u-12,5
Moore,Richard,F,2012-10-20,Advanced,West 288,Redwood Preparatory,N,N,u-12,5
Anderson,Michael,F,2012-12-07,Average,Silverlake/East 288,Spruce High,N,N,u-12,5
Davis,Mary,F,2013-10-21,Advanced,Blue Ridge Soccer Park (South Houston),Willow Elementary,N,N,u-12,5
Davis,Dorothy,F,2013-03-31,Average,West 288,Aspen Charter School,N,Y,u-12,6
Rodriguez,Margaret,F,2013-12-13,Advanced,West 288,Birch School,N,N,u-12,6
Anderson,Joseph,F,2012-10-25,Beginner,West 288,Cypress School,N,N,u-12,6
Brown,Margaret,F,2013-12-09,Advanced,West 288,Cypress School,N,Y,u-12,6
Brown,Charles,F,2014-03-06,Very Good,Hwy 6 South,Magnolia High,Y,N,u-12,6
Martin,Michael,F,2013-07-05,Advanced,Silverlake/East 288,Magnolia High,N,Y,u-12,6
Brown,Barbara,F,2013-05-04,Average,Silverlake/East 288,Maple Middle School,N,N,u-12,6
Martinez,Barbara,F,2014-03-11,Beginner,Silverlake/East 288,Oak Elementary,N,N,u-12,6
Smith,Patricia,F,2013-10-09,Average,Silverlake/East 288,Pine High School,N,N,u-12,6
Moore,Jennifer,F,2013-07-31,Average,West 288,Poplar Academy,N,N,u-12,6
Lopez,Dorothy,F,2013-12-02,Average,Blue Ridge Soccer Park (South Houston),Spruce High,Y,N,u-12,6
Williams,Charles,F,2013-06-04,Advanced,Silverlake/East 288,Sycamore Elementary,Y,N,u-12,6
Brown,Jennifer,M,2012-07-20,Very Good,Silverlake/East 288,Aspen Charter School,N,N,u-14,1
Davis,Robert,M,2011-04-26,Average,Far East,Birch School,N,N,u-14,1
Martin,Barbara,M,2012-07-18,Very Good,West 288,Cedar Academy,N,N,u-14,1
Rodriguez,Mary,M,2011-06-18,Beginner,Silverlake/East 288,Chestnut Middle School,Y,N,u-14,1
Miller,Lisa,M,2012-07-14,Beginner,Silverlake/East 288,Cypress School,N,N,u-14,1
Anderson,Charles,M,2010-11-15,Advanced,Far East,Elm Middle School,N,N,u-14,1
Garcia,Thomas,M,2011-06-06,Beginner,Blue Ridge Soccer Park (South Houston),Maple Middle School,N,N,u-14,1
Miller,Dorothy,M,2012-08-09,Advanced,Silverlake/East 288,Maple Middle School,N,N,u-14,1
Hernandez,Barbara,M,2010-09-23,Advanced,Silverlake/East 288,Oak Elementary,N,N,u-14,1
Miller,Michael,M,2011-08-20,Advanced,West 288,Pine High School,Y,Y,u-14,1
Brown,Michael,M,2010-10-14,Beginner,Far East,Spruce High,N,N,u-14,1
Garcia,David,M,2011-12-20,Average,Hwy 6 South,Sycamore Elementary,N,Y,u-14,1
Jones,Thomas,M,2011-12-12,Advanced,West 288,Sycamore Elementary,N,N,u-14,1
Anderson,Patricia,M,2010-12-02,Average,Silverlake/East 288,Willow Elementary,N,N,u-14,1
Rodriguez,John,M,2010-12-15,Advanced,West 288,Aspen Charter School,N,N,u-14,2
Hernandez,David,M,2011-05-25,Average,Silverlake/East 288,Birch School,N,N,u-14,2
Rodriguez,Barbara,M,2011-01-03,Average,Blue Ridge Soccer Park (South Houston),Cedar Academy,N,N,u-14,2
Hernandez,Charles,M,2012-07-11,Beginner,West 288,Chestnut Middle School,N,N,u-14,2
Williams,Margaret,M,2012-04-09,Very Good,West 288,Elm Middle School,N,Y,u-14,2
Jackson,Thomas,M,2010-10-13,Advanced,Hwy 6 South,Elm Middle School,Y,N,u-14,2
Martin,James,M,2011-11-01,Beginner,West 288,Maple Middle School,N,N,u-14,2
Brown,William,M,2011-03-06,Very Good,West 288,Oak Elementary,Y,N,u-14,2
Davis,Robert,M,2012-02-17,Very Good,Blue Ridge Soccer Park (South Houston),Pine High School,N,N,u-14,2
Taylor,William,M,2012-06-02,Average,Far East,Redwood Preparatory,N,Y,u-14,2
Johnson,Susan,M,2011-10-15,Beginner,Hwy 6 South,Spruce High,N,N,u-14,2
Smith,Mary,M,2011-10-24,Advanced,Silverlake/East 288,Sycamore Elementary,N,N,u-14,2
Davis,Barbara,M,2012-04-28,Very Good,Silverlake/East 288,Willow Elementary,N,N,u-14,2
Smith,Robert,M,2012-07-03,Advanced,Silverlake/East 288,Willow Elementary,N,N,u-14,2
Martinez,David,M,2011-09-24,Very Good,Hwy 6 South,Birch School,N,N,u-14,3
Martinez,Richard,M,2012-08-19,Average,Silverlake/East 288,Birch School,N,N,u-14,3
Wilson,Thomas,M,2011-10-09,Advanced,Silverlake/East 288,Cedar Academy,N,N,u-14,3
Smith,Susan,M,2010-12-12,Average,Silverlake/East 288,Chestnut Middle School,N,N,u-14,3
Williams,Jennifer,M,2011-06-15,Average,Silverlake/East 288,Elm Middle School,N,N,u-14,3
Taylor,Elizabeth,M,2012-05-04,Very Good,West 288,Magnolia High,Y,N,u-14,3
Jones,Susan,M,2012-08-03,Advanced,Silverlake/East 288,Maple Middle School,N,N,u-14,3
Jones,Robert,M,2011-03-07,Advanced,Blue Ridge Soccer Park (South Houston),Oak Elementary,Y,N,u-14,3
Anderson,Charles,M,2011-10-19,Average,Silverlake/East 288,Pine High School,N,N,u-14,3
Garcia,Susan,M,2011-10-14,Very Good,Silverlake/East 288,Spruce High,N,Y,u-14,3
Moore,Thomas,M,2012-08-28,Beginner,West 288,Spruce High,N,N,u-14,3
Jones,John,M,2012-03-01,Advanced,Silverlake/East 288,Sycamore Elementary,N,N,u-14,3
Anderson,Dorothy,M,2011-10-17,Beginner,West 288,Willow Elementary,Y,N,u-14,3
Wilson,Richard,F,2011-07-12,Very Good,Blue Ridge Soccer Park (South Houston),Aspen Charter School,N,N,u-14,4
Anderson,Dorothy,F,2011-10-23,Beginner,Hwy 6 South,Chestnut Middle School,N,N,u-14,4
Jones,James,F,2011-09-03,Average,Blue Ridge Soccer Park (South Houston),Cypress School,Y,N,u-14,4
Martin,Richard,F,2011-06-16,Advanced,West 288,Cypress School,N,N,u-14,4
Thomas,Dorothy,F,2012-06-04,Beginner,West 288,Elm Middle School,N,N,u-14,4
Wilson,Elizabeth,F,2011-03-08,Very Good,Silverlake/East 288,Magnolia High,N,N,u-14,4
Smith,John,F,2012-04-21,Advanced,Silverlake/East 288,Magnolia High,N,N,u-14,4
Brown,Joseph,F,2011-05-29,Very Good,West 288,Maple Middle School,N,N,u-14,4
Rodriguez,Lisa,F,2011-09-15,Advanced,Blue Ridge Soccer Park (South Houston),Maple Middle School,N,N,u-14,4
Taylor,Mary,F,2012-08-24,Very Good,Silverlake/East 288,Oak Elementary,N,Y,u-14,4
Smith,Linda,F,2011-10-23,Very Good,Silverlake/East 288,Pine High School,N,Y,u-14,4
Rodriguez,William,F,2011-08-27,Average,Silverlake/East 288,Spruce High,N,N,u-14,4
Wilson,Barbara,F,2011-09-03,Advanced,West 288,Sycamore Elementary,N,N,u-14,4
Davis,Susan,F,2011-11-28,Beginner,West 288,Willow Elementary,Y,N,u-14,4
Williams,Barbara,F,2012-05-26,Beginner,Far East,Birch School,Y,N,u-14,5
Rodriguez,Margaret,F,2011-10-05,Advanced,Silverlake/East 288,Chestnut Middle School,N,N,u-14,5
Williams,Charles,F,2012-02-02,Average,Silverlake/East 288,Cypress School,N,N,u-14,5
Wilson,Jennifer,F,2011-02-02,Beginner,West 288,Elm Middle School,N,N,u-14,5
Jones,Barbara,F,2011-03-20,Average,West 288,Elm Middle School,N,N,u-14,5
Jackson,William,F,2012-02-21,Average,Far East,Magnolia High,N,Y,u-14,5
Brown,Richard,F,2012-06-06,Very Good,Silverlake/East 288,Maple Middle School,N,N,u-14,5
Taylor,Joseph,F,2011-04-29,Beginner,Silverlake/East 288,Maple Middle School,Y,N,u-14,5
Wilson,Thomas,F,2012-07-24,Advanced,Silverlake/East 288,Maple Middle School,Y,N,u-14,5
Rodriguez,John,F,2012-01-06,Beginner,Far East,Oak Elementary,N,N,u-14,5
Jackson,John,F,2012-02-06,Very Good,West 288,Pine High School,N,N,u-14,5
Smith,William,F,2012-02-29,Beginner,Blue Ridge Soccer Park (South Houston),Sycamore Elementary,N,N,u-14,5
Davis,David,F,2010-10-11,Very Good,Silverlake/East 288,Willow Elementary,N,Y,u-14,5
Johnson,Joseph,F,2012-03-15,Advanced,Silverlake/East 288,Willow Elementary,Y,N,u-14,5
Taylor,Charles,F,2012-01-24,Beginner,West 288,Cedar Academy,N,N,u-14,6
Smith,Lisa,F,2010-12-13,Beginner,Silverlake/East 288,Cypress School,N,N,u-14,6
Taylor,Susan,F,2010-09-23,Average,West 288,Cypress School,N,Y,u-14,6
Taylor,Robert,F,2012-06-03,Beginner,West 288,Elm Middle School,N,N,u-14,6
Miller,William,F,2011-02-06,Very Good,Blue Ridge Soccer Park (South Houston),Magnolia High,N,N,u-14,6
Thomas,Lisa,F,2011-03-14,Average,West 288,Magnolia High,Y,N,u-14,6
Martinez,Mary,F,2011-04-25,Very Good,West 288,Maple Middle School,N,N,u-14,6
Martin,Patricia,F,2011-08-18,Average,Silverlake/East 288,Maple Middle School,N,N,u-14,6
Anderson,William,F,2012-08-17,Advanced,Silverlake/East 288,Maple Middle School,Y,N,u-14,6
Martinez,Elizabeth,F,2012-02-01,Average,Silverlake/East 288,Oak Elementary,N,N,u-14,6
Rodriguez,Joseph,F,2011-10-20,Average,Far East,Pine High School,N,N,u-14,6
Jackson,Jennifer,F,2012-08-26,Beginner,Silverlake/East 288,Sycamore Elementary,N,N,u-14,6
Jones,Michael,F,2011-12-16,Very Good,Silverlake/East 288,Willow Elementary,N,N,u-14,6
Jones,Barbara,M,2010-05-30,Beginner,Blue Ridge Soccer Park (South Houston),Aspen Charter School,N,Y,u-16,1
Brown,William,M,2009-10-12,Advanced,Far East,Aspen Charter School,N,N,u-16,1
Anderson,Michael,M,2010-06-29,Average,Silverlake/East 288,Birch School,N,Y,u-16,1
Hernandez,Joseph,M,2009-06-29,Average,West 288,Chestnut Middle School,N,N,u-16,1
Moore,Susan,M,2009-07-07,Average,Blue Ridge Soccer Park (South Houston),Elm Middle School,N,N,u-16,1
Johnson,Mary,M,2008-11-30,Beginner,West 288,Maple Middle School,N,N,u-16,1
Jones,David,M,2010-02-26,Advanced,Hwy 6 South,Maple Middle School,Y,Y,u-16,1
Garcia,John,M,2010-02-26,Very Good,Silverlake/East 288,Pine High School,N,N,u-16,1
Johnson,Patricia,M,2010-04-16,Advanced,West 288,Pine High School,N,N,u-16,1
Moore,Linda,M,2010-08-30,Advanced,Hwy 6 South,Poplar Academy,N,Y,u-16,1
Martinez,Linda,M,2009-08-02,Average,Blue Ridge Soccer Park (South Houston),Spruce High,N,N,u-16,1
Anderson,Robert,M,2009-07-01,Average,West 288,Sycamore Elementary,N,N,u-16,1
Thomas,Elizabeth,M,2010-06-22,Beginner,West 288,Willow Elementary,N,N,u-16,1
Miller,Jennifer,M,2009-01-06,Average,West 288,Willow Elementary,N,N,u-16,1
Moore,Joseph,M,2010-05-15,Beginner,West 288,Aspen Charter School,N,N,u-16,2
Jackson,Barbara,M,2009-05-03,Very Good,Hwy 6 South,Birch School,N,N,u-16,2
Moore,Elizabeth,M,2009-07-23,Average,West 288,Cedar Academy,Y,N,u-16,2
Garcia,Thomas,M,2009-10-02,Advanced,West 288,Chestnut Middle School,N,N,u-16,2
Rodriguez,Linda,M,2008-12-01,Very Good,Hwy 6 South,Magnolia High,N,Y,u-16,2
Wilson,Lisa,M,2009-09-26,Beginner,West 288,Maple Middle School,N,N,u-16,2
Jones,Thomas,M,2008-11-21,Very Good,Silverlake/East 288,Oak Elementary,Y,Y,u-16,2
Martin,Linda,M,2009-08-28,Beginner,Silverlake/East 288,Pine High School,N,N,u-16,2
Gonzalez,Richard,M,2008-11-01,Beginner,Hwy 6 South,Poplar Academy,N,Y,u-16,2
Jones,William,M,2009-08-27,Beginner,West 288,Redwood Preparatory,N,N,u-16,2
Wilson,Dorothy,M,2010-06-25,Very Good,West 288,Sycamore Elementary,N,N,u-16,2
Rodriguez,Linda,M,2009-09-30,Advanced,Silverlake/East 288,Sycamore Elementary,N,Y,u-16,2
Gonzalez,Charles,M,2009-07-16,Average,Silverlake/East 288,Willow Elementary,Y,N,u-16,2
Miller,Susan,M,2009-12-31,Advanced,Silverlake/East 288,Willow Elementary,N,N,u-16,2
Davis,David,M,2010-04-29,Average,West 288,Aspen Charter School,Y,Y,u-16,3
Anderson,William,M,2008-12-17,Very Good,Silverlake/East 288,Birch School,N,Y,u-16,3
Brown,Barbara,M,2010-05-19,Beginner,West 288,Chestnut Middle School,N,N,u-16,3
Wilson,David,M,2010-08-27,Average,Silverlake/East 288,Cypress School,Y,N,u-16,3
Wilson,Jennifer,M,2008-10-27,Very Good,Far East,Maple Middle School,N,N,u-16,3
Rodriguez,Richard,M,2009-05-26,Average,Blue Ridge Soccer Park (South Houston),Maple Middle School,N,N,u-16,3
Jackson,Joseph,M,2009-11-07,Average,West 288,Oak Elementary,N,N,u-16,3
Martin,Margaret,M,2009-03-28,Beginner,West 288,Pine High School,N,N,u-16,3
Gonzalez,Jennifer,M,2010-06-22,Beginner,West 288,Poplar Academy,Y,Y,u-16,3
Williams,Susan,M,2009-03-29,Advanced,Hwy 6 South,Redwood Preparatory,Y,N,u-16,3
Jackson,David,M,2010-04-12,Average,Hwy 6 South,Sycamore Elementary,N,N,u-16,3
Rodriguez,Margaret,M,2009-12-17,Very Good,Hwy 6 South,Willow Elementary,N,Y,u-16,3
Garcia,Lisa,M,2009-11-01,Average,Silverlake/East 288,Willow Elementary,N,N,u-16,3
Moore,Linda,F,2010-01-16,Very Good,Far East,Aspen Charter School,N,N,u-16,4
Hernandez,David,F,2009-04-02,Advanced,West 288,Aspen Charter School,N,N,u-16,4
Miller,William,F,2009-10-22,Advanced,Silverlake/East 288,Birch School,N,N,u-16,4
Davis,Dorothy,F,2010-06-01,Average,West 288,Cedar Academy,N,N,u-16,4
Miller,William,F,2010-05-08,Advanced,West 288,Cedar Academy,Y,N,u-16,4
Thomas,Joseph,F,2009-12-03,Beginner,Silverlake/East 288,Elm Middle School,Y,N,u-16,4
Hernandez,Mary,F,2010-02-13,Average,West 288,Magnolia High,Y,N,u-16,4
Miller,Lisa,F,2009-08-04,Advanced,West 288,Maple Middle School,N,N,u-16,4
Lopez,Margaret,F,2010-01-12,Beginner,West 288,Oak Elementary,N,N,u-16,4
Lopez,Susan,F,2010-06-10,Very Good,Silverlake/East 288,Pine High School,N,N,u-16,4
Johnson,Richard,F,2009-10-14,Advanced,Silverlake/East 288,Pine High School,N,N,u-16,4
Thomas,Jennifer,F,2009-01-17,Advanced,Blue Ridge Soccer Park (South Houston),Poplar Academy,N,N,u-16,4
Williams,Dorothy,F,2010-03-23,Very Good,West 288,Spruce High,N,N,u-16,4
Moore,Charles,F,2009-12-16,Average,West 288,Spruce High,N,N,u-16,4
Garcia,James,F,2009-05-24,Very Good,West 288,Aspen Charter School,N,N,u-16,5
Miller,Barbara,F,2009-04-17,Beginner,Blue Ridge Soccer Park (South Houston),Birch School,Y,N,u-16,5
Martin,Thomas,F,2010-05-18,Very Good,West 288,Cedar Academy,Y,N,u-16,5
Anderson,Charles,F,2009-01-22,Advanced,Silverlake/East 288,Cedar Academy,N,N,u-16,5
Garcia,Barbara,F,2010-01-05,Average,West 288,Chestnut Middle School,N,N,u-16,5
Hernandez,Jennifer,F,2009-09-20,Beginner,Silverlake/East 288,Elm Middle School,N,Y,u-16,5
Gonzalez,Thomas,F,2010-07-30,Average,West 288,Magnolia High,Y,N,u-16,5
Johnson,James,F,2010-07-11,Advanced,West 288,Maple Middle School,N,N,u-16,5
Williams,Susan,F,2009-11-24,Average,Silverlake/East 288,Oak Elementary,N,N,u-16,5
Anderson,Mary,F,2008-11-21,Beginner,Blue Ridge Soccer Park (South Houston),Pine High School,N,N,u-16,5
Williams,Thomas,F,2010-03-07,Beginner,Far East,Poplar Academy,Y,N,u-16,5
Johnson,Elizabeth,F,2010-01-16,Beginner,West 288,Redwood Preparatory,N,N,u-16,5
Williams,Lisa,F,2010-06-11,Beginner,Far East,Spruce High,N,N,u-16,5
Jackson,Thomas,F,2009-07-03,Advanced,West 288,Spruce High,N,N,u-16,5
Smith,James,F,2009-11-10,Beginner,West 288,Aspen Charter School,N,N,u-16,6
Davis,David,F,2009-09-19,Average,Hwy 6 South,Birch School,N,N,u-16,6
Lopez,David,F,2009-03-11,Average,West 288,Cedar Academy,N,N,u-16,6
Anderson,Barbara,F,2010-02-02,Advanced,Silverlake/East 288,Cedar Academy,N,N,u-16,6
Miller,Dorothy,F,2009-02-08,Beginner,West 288,Cypress School,N,N,u-16,6
Smith,Thomas,F,2009-11-18,Beginner,Silverlake/East 288,Magnolia High,N,N,u-16,6
Hernandez,Robert,F,2009-07-17,Advanced,Blue Ridge Soccer Park (South Houston),Magnolia High,N,Y,u-16,6
Thomas,Margaret,F,2009-02-11,Beginner,Silverlake/East 288,Oak Elementary,N,N,u-16,6
Martin,Lisa,F,2010-02-04,Very Good,Far East,Pine High School,N,N,u-16,6
Martin,David,F,2008-10-17,Beginner,West 288,Pine High School,N,Y,u-16,6
Garcia,Mary,F,2009-02-22,Average,Far East,Poplar Academy,N,N,u-16,6
Martin,Elizabeth,F,2010-02-16,Average,Hwy 6 South,Redwood Preparatory,N,N,u-16,6
Williams,Linda,F,2009-04-03,Average,Far East,Spruce High,Y,N,u-16,6
Jones,David,F,2009-06-13,Very Good,Hwy 6 South,Willow Elementary,N,N,u-16,6
Williams,Michael,M,2008-05-11,Advanced,Silverlake/East 288,Cedar Academy,N,N,u-18,1
Lopez,Michael,M,2008-03-16,Beginner,West 288,Chestnut Middle School,N,Y,u-18,1
Garcia,James,M,2008-04-20,Beginner,West 288,Chestnut Middle School,N,N,u-18,1
Martinez,Barbara,M,2007-12-11,Average,West 288,Chestnut Middle School,N,N,u-18,1
Jackson,Patricia,M,2008-08-14,Advanced,Silverlake/East 288,Cypress School,N,N,u-18,1
Thomas,Thomas,M,2007-10-20,Advanced,Silverlake/East 288,Maple Middle School,N,N,u-18,1
Johnson,James,M,2008-05-14,Average,Blue Ridge Soccer Park (South Houston),Oak Elementary,N,N,u-18,1
Miller,Barbara,M,2007-10-11,Average,Silverlake/East 288,Oak Elementary,N,Y,u-18,1
Thomas,Michael,M,2007-09-27,Advanced,Silverlake/East 288,Poplar Academy,Y,N,u-18,1
Jones,William,M,2008-02-25,Advanced,West 288,Poplar Academy,N,N,u-18,1
Jones,Thomas,M,2008-08-22,Average,Silverlake/East 288,Redwood Preparatory,N,N,u-18,1
Moore,Linda,M,2008-03-13,Average,Silverlake/East 288,Sycamore Elementary,N,N,u-18,1
Smith,Linda,F,2008-04-12,Beginner,West 288,Aspen Charter School,N,N,u-18,2
Williams,Elizabeth,F,2008-05-15,Very Good,Blue Ridge Soccer Park (South Houston),Birch School,N,N,u-18,2
Brown,Michael,F,2008-02-26,Very Good,Far East,Elm Middle School,N,Y,u-18,2
Lopez,Michael,F,2007-10-23,Advanced,West 288,Elm Middle School,N,N,u-18,2
Davis,Robert,F,2008-01-22,Beginner,Silverlake/East 288,Magnolia High,N,N,u-18,2
Martinez,James,F,2007-11-02,Average,West 288,Magnolia High,N,N,u-18,2
Taylor,Lisa,F,2008-03-27,Very Good,Silverlake/East 288,Oak Elementary,N,N,u-18,2
Jones,Margaret,F,2008-05-14,Beginner,West 288,Redwood Preparatory,N,N,u-18,2
Smith,Lisa,F,2008-07-21,Beginner,Far East,Spruce High,N,N,u-18,2
Rodriguez,Margaret,F,2008-03-24,Advanced,Far East,Willow Elementary,N,N,u-18,2
Rodriguez,Barbara,F,2007-12-27,Advanced,West 288,Willow Elementary,N,N,u-18,2
